DESCRIPTION,FA_ACCEPTED_DATE,FA_ANALYST,FA_LOCATION,LOT,MOULD_COMPOUND,PK_PACKAGE_NAME,PLAN_TRANSFER_DAY_TO_FA,PRECEDING_STRESS_OPERATION,PRECEEDING_STRESS,PROD_BASIC_TYPE,PROJ_PROJECT_NAME,PROJ_THEMA2,PROJECT_LINE,QM,STARTING_MONTH,TEMPLATE_NAME,TEST_ALREADY_IN_FA,TEST_LAB_TRACKING_NO,TESTSTATE,WIRE_DIAMETER,WIRE_MATERIAL,PRIORITY,PROJ_ID
"Cu Wire
Zhang Hai Shu (IFAP FE QM FA PI) <Hai-Shu.Zhang@infineon.com>",11/9/2022 10:27:57 AM,Yang Jun (IFAP FE QM FA PI),FA-SIN,84PKU079S01 #01,AMK MC27,PG-TQFP-64-21,11/9/2022 12:00:00 AM,T_TC_500_R1,TC,M6320,Q22MR|LR01_M6340G_L90FLA-TSMC_PG-TQFP-64-21-ATP-Pkgqual-ESD CDM_Lot2,package qualification XMC product: ALP_CSS_XMC_Trans_xQFP_FTK_ATP,G3,Ravindran Lakshmy (IFAG CSS QM 2),2022-11,IPI,YES,RQ22322G.05,START,,,3,268693
"HTRB 500h - PTA, please ship to Dan Swee Tong (IFAP FE QM FA PI) 

10 units for EVI
10 units for SAT
3 units for IVI
For 75um wire - 3units for Pull & 3 units for Shear
For 250um wire- 3units for Pull & 3 units for Shear",11/9/2022 10:01:42 AM,Bong Wuan Lii Shirley (IFAP FE QM FA PI),FA SIN_PTA,VC1448810UN_32496-Marking Code: HE3,EME E500 HA,PG-TO247-4-16,11/9/2022 12:00:00 AM,SPLIT,HTRB,L8864,Q22SY011_CYL127,ALP_SiCMOS_Gen1_750V_ATV_TO247_TFME,OSP,Lam Ying Ying (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT22356R.08,ASSESSED,,,3,268637
"T0_LL PTA
Samples already shipped to SIN FA separately,MEL RPT LLP please help to transfer the job in system",11/10/2022 10:22:43 AM,Bong Wuan Lii Shirley (IFAP FE QM FA PI),FA SIN_PTA,6HUK9MPW941,EME G631BQG,PG-VQFN-56-7,11/10/2022 12:00:00 AM,,REF,S1043,Q21LHG010_HUL432,Annapura 8x8 Package pro.Cu Qualification LL Lot,OSA,Loh Hai Guan (IFAP BE TS QM RQ 3),2022-11,PTA-Q006,YES,MT22455T.25,ASSESSED,30µm,30um PCC Wire,3,249885
"T0_HH PTA
Samples already shipped to SIN FA separately,MEL RPT LLP please help to transfer the job in system",11/10/2022 10:23:08 AM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,6HUK9MPW943,EME G631BQG,PG-VQFN-56-7,11/10/2022 12:00:00 AM,,REF,S1043,Q21LHG011_HUL433,Annapura 8x8 Package pro.Cu Qualification HH Lot,OSA,Loh Hai Guan (IFAP BE TS QM RQ 3),2022-11,PTA-Q006,YES,MT22455S.25,ASSESSED,30µm,30um PCC Wire,3,249886
"T0_MM PTA
samples already shipped to SIN FA, MEL RPT LLP helps to transfer the job in system",11/10/2022 10:21:04 AM,Ling Su Lin (IFAP FE QM FA PI OPS),FA SIN_PTA,6HUK9MPW941,EME G631BQG,PG-VQFN-56-7,11/10/2022 12:00:00 AM,,REF,S1043,Q21LHG009_HUL431,Annapura 8x8 Package pro.Cu Qualification MM Lot,OSA,Loh Hai Guan (IFAP BE TS QM RQ 3),2022-11,PTA-Q006,YES,MT214415.27,END,30µm,30um PCC Wire,3,249883
"Q006: PTA after PTC2000x

Please ship the samples to SIN FA. Attention to Goh Jia Yi (IFAP FE QM FA PI).

Refer to Ave Ball Diameter used in VQ2137AD.05",11/14/2022 8:45:16 AM,Bong Wuan Lii Shirley (IFAP FE QM FA PI),FA SIN_PTA,6HUK8QRQG01 [MM],MC_CEL 9240 HF10AKI2,PG-TQFP-48-10,11/14/2022 12:00:00 AM,T_PTC_2000_R3,PTC,M9881,Q21GU03_GU027,M9881A12_TQFP48_SPT9_ProCu_Qual_MM,PT,Gui Hay Tat (IFAP BE TS QM RQ 3),2022-11,PTA-Q006,YES,VQ2137AD.22,ASSESSED,25µm,BW_Cu_5N_25_µm,3,248551
"Initial IPI. 
12x  for IPI, plus extra backup samples

During the IPI, please also focus on observations from prequalification (PPT attached!):
-> possible Sulphur corossion on the wirebonds seen during IVI
-> bond ball deviation seen during IVI
-> mold flakes (remains of old mold compound) seen during CSAM
-> Incomplete molding observed from EVI
-> voids or insufficient die attach seen in CSAM
",11/14/2022 11:28:17 AM,,FA-SIN,ZA229419502_39305,MC_EME G631 BQF,PG-VQFN-48-78,11/14/2022 12:00:00 AM,,REF,M1958,Q21EP131_EP131,6EDL7151_M1958_PG-VQFN-48-78 (Chimera+)_Lot1,12_88,Peron Elisabetta (IFAT PSS QM DCDC IC),2022-11,IPI,YES,MT222011.27,START,25µm,BW_AuPd/Cu_4N_25_µm,3,256876
"PTA for TC1500c MM leg

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour FA submission template. 
To use as reference for subsequent same lot stress readout PTA reports.",11/15/2022 10:24:21 AM,Ling Su Lin (IFAP FE QM FA PI OPS),FA SIN_PTA,BS186980H03_MM,CEL 9240 HF10 AK,PG-DSO-8-92,11/15/2022 12:00:00 AM,SPLIT,TC,M2919,Q22TSK60_LAF004,ALP_TH-X_M2919_PG-DSO-8-92_HANA _MM,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT22334J.15,ASSESSED,,,3,269136
PC PTA (HH) - ship to Dan Swee Tong. WBS: G-3000-37SU0828-00-0-00 ,11/15/2022 10:23:56 AM,Yeo Eng Leng Joseph (IFAP FE QM FA PI),FA SIN_PTA,HH,MC_CEL 9240 HF40M3,PG-TDSON-8-7,11/15/2022 12:00:00 AM,SPLIT,PC,L9199,Q22PP004_LAF058,ALP_SS08_SFET3/5_PG-TDSON-8_ATM,OSP,Too Pei Pei (IFAP BE TS QM RQ 2),2022-11,PTA,YES,MT22446M.03,ASSESSED,30µm,BW_Au_4N_30_µm,3,272391
"PTA for HTSL1500hrs MM leg

To be shipped to FA SIN, attention to Dan Swee Tong (IFAP FE QM FA PI) +65 68664504.
Refer to zero hour FA submission template.
To use as reference for subsequent same lot stress readout PTA reports.",11/15/2022 10:24:46 AM,Ling Su Lin (IFAP FE QM FA PI OPS),FA SIN_PTA,BS186980H03_MM,CEL 9240 HF10 AK,PG-DSO-8-92,11/15/2022 12:00:00 AM,SPLIT,HTSL,M2919,Q22TSK60_LAF004,ALP_TH-X_M2919_PG-DSO-8-92_HANA _MM,OSP,Tay Soon Kiat (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT22334J.08,ASSESSED,,,3,269136
"Please send back samples to RPT RGB to store as IPI Reserve
Cu Wire",11/15/2022 1:59:47 PM,,FA-SIN,ZA205257S05 #19,AMK MC27,PG-LQFP-144-26,11/15/2022 12:00:00 AM,RPT MUC -> RPT RBG,HTSL,M6320,Q22MR|LR02_M6350B_L90FLI-DRS_PG-LQFP-144-26-ATP-Pkgqual_Lot2,package qualification XMC product: ALP_CSS_XMC_Trans_xQFP_FTK_ATP,G3,Ravindran Lakshmy (IFAG CSS QM 2),2022-11,IPI,YES,RQ22261S.11,START,,,3,268694
"Please send the samples back to RGB to store as IPI reserve
Cu Wire",11/15/2022 2:00:12 PM,,FA-SIN,ZA205257S05 #18,AMK MC27,PG-LQFP-144-26,11/15/2022 12:00:00 AM,,HTSL,M6320,Q22MR|LR02_M6350B_L90FLI-DRS_PG-LQFP-144-26-ATP-Pkgqual-ESD CDM_Lot1,package qualification XMC product: ALP_CSS_XMC_Trans_xQFP_FTK_ATP,G3,Ravindran Lakshmy (IFAG CSS QM 2),2022-11,IPI,YES,RQ22261T.06,START,,,3,264125
"H3TRB_HV 1000h - PTA, please ship to Dan Swee Tong (IFAP FE QM FA PI)   

15 units for EVI
22 units for SAT
5 units for IVI
For 75um wire - 5units for Pull & 5 units for Shear
For 250um wire- 5units for Pull & 5 units for Shear",11/15/2022 10:25:15 AM,Bong Wuan Lii Shirley (IFAP FE QM FA PI),FA SIN_PTA,VC1448810UN_32496-Marking Code: HE3,EME E500 HA,PG-TO247-4-16,11/15/2022 12:00:00 AM,SPLIT,H3TRB_HV,L8864,Q22SY011_CYL127,ALP_SiCMOS_Gen1_750V_ATV_TO247_TFME,OSP,Lam Ying Ying (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT22356R.09,ASSESSED,,,3,268637
"TC2000X - VHVH Leg:

Please ship to Dan Swee Tong.
Shipment Details:
- Attention to: Dan Swee Tong (IFAP FE QM FA PI)
- Address: Infineon Technologies Asia Pacific Pte Ltd (Kallang Way)
168 Kallang Way, Singapore 349253
- Contact Number: +65 68664504
- Email: SweeTong.Dan@infineon.com

Please refer to MT22395X.01-KBL9162  for PTA instruction v3
Pls keep the worst delam or mold abnormally unit for further analysis
Pls provide the estimation for measurement if delam or mold or ball abnormally observed. 
Please kindly note down the all the laser marking numbers on the mold compound before decapping.",11/17/2022 10:30:52 AM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,D_607101,EME G631 H,PG-VSON-8-2,11/17/2022 12:00:00 AM,SPLIT,TC,M5751,Q22PWL012_KBL916,ALP_3D_Sensor_B7CA_VSON3X3_ASEKH,OSA,Pan Wenli (IFAP BE TS QM RQ 3),2022-11,PTA,YES,MT22395X.06,START,25µm,2N Au Wire,3,272614
"initial PTA (HH) - ship to Dan Swee Tong. WBS: G-3000-37SU0828-00-0-00 

EVI, xray, csam : 20 units 

IVI (die & wire) : 3 units

cross section at ball bond (parallel with wire span) : 1 unit (inspect ball bond & measure BLT)

wire pull test : 8 units

ball shear test : 8 units

wedge pull test : 3 units

Reference report: SI22Y1-02808",11/17/2022 10:31:18 AM,Yang Jun (IFAP FE QM FA PI),FA SIN_PTA,HH,MC_CEL 9240 HF40M3,PG-TDSON-8-7,11/17/2022 12:00:00 AM,,REF,L9199,Q22PP004_LAF058,ALP_SS08_SFET3/5_PG-TDSON-8_ATM,OSP,Too Pei Pei (IFAP BE TS QM RQ 2),2022-11,PTA,YES,MT22446M.02,START,30µm,BW_Au_4N_30_µm,3,272391
"0hr-PTA

Please ship to Dan Swee Tong (IFAP FE QM FA PI)

EVI, X-ray, CSAM - 11 units. 
IVI Decap - 5 units.
Ball Pull - 5 units 
Ball Shear - 5 units
Stitch Pull - 8 units
Ball bond cross-sec - 1 unit
Stitch cross-sec - 1 unit from CSAM. 

Please indicate which wire is the ground bond in the raw data. 
",11/17/2022 10:32:58 AM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,1E234573B03,G700LS,PG-DSO-8-62,11/17/2022 12:00:00 AM,,REF,S2710,Q22SY013_ATI353,AFP_S2710A_DOPL_Transfer_DSO8_ATP1,OSP,Chua Su Ya (IFAP BE TS QM RQ 3),2022-11,PTA-Q006,YES,MT22445W.01,START,,,3,269241
"0hr-Q006 PTA
Please ship to Dan Swee Tong (IFAP FE QM FA PI)

EVI, X-ray, CSAM - 11 units. 
IVI Decap - 5 units.
Ball Pull - 5 units 
Ball Shear - 5 units
Stitch Pull - 8 units
Ball bond cross-sec - 1 unit
Stitch cross-sec - 1 unit from CSAM. 
Please indicate which wire is the ground bond in the raw data. ",11/17/2022 10:32:08 AM,Ling Su Lin (IFAP FE QM FA PI OPS),FA SIN_PTA,1E234572B04,G700LS,PG-DSO-8-62,11/17/2022 12:00:00 AM,,REF,S2710,Q22SY012_ATI352,AFP_S2710A_DOPL_Transfer_DSO8_ATP1,OSP,Chua Su Ya (IFAP BE TS QM RQ 3),2022-11,PTA-Q006,YES,MT22445V.17,START,,,3,269180
"initial PTA (LL) - ship to Dan Swee Tong. WBS: G-3000-37SU0828-00-0-00 

EVI, xray, csam : 20 units 

IVI (die & wire) : 3 units

cross section at ball bond (parallel with wire span) : 1 unit (inspect ball bond & measure BLT)

wire pull test : 8 units

ball shear test : 8 units

wedge pull test : 3 units

Reference report: SI22Y1-02808",11/17/2022 10:31:43 AM,Ong Si Hui (IFAP FE QM FA PI),FA SIN_PTA,LL,MC_CEL 9240 HF40M3,PG-TDSON-8-7,11/17/2022 12:00:00 AM,,REF,L9199,Q22PP002_LAF056,ALP_SS08_SFET3/5_PG-TDSON-8_ATM,OSP,Too Pei Pei (IFAP BE TS QM RQ 2),2022-11,PTA,YES,MT22446D.03,START,30µm,BW_Au_4N_30_µm,3,272366
"after PC PTA -MM leg
Attention to Dela Cruz Genny (IFAP FE QM FA PI OPS) 

PTA instructions:
External Visual Inspection (EVI): 5 units
SAM (die top, top and bottom die paddle, top and bottom leads, DA and through scan): 22 units",11/17/2022 10:23:47 AM,Yeo Eng Leng Joseph (IFAP FE QM FA PI),FA SIN_PTA,VC223261510_45001,EME-7026,PG-TO263-9-1,11/17/2022 12:00:00 AM,SPLIT,PC,L8704,Q22ZY404_CYL198,ALP_ eD2PAK _SiC MOS_ PG-TO263-9-1_ATJ,OSP,Zhu Ye (IFAP BE TS QM RQ 1),2022-11,PTA,YES,MT224468.08,ASSESSED,,,3,277365
"Q006: PTA after PTC2000x

Please ship the samples to SIN FA. Attention to Goh Jia Yi (IFAP FE QM FA PI).

Refer to Ave Ball Diameter used in VQ21391L.05",11/17/2022 10:29:06 AM,Wang Liang (IFAP FE QM FA PI OPS),FA SIN_PTA,6HUK8QRQH01 [MM],MC_CEL 9240 HF10 AKI2U,PG-LQFP-64-28,11/17/2022 12:00:00 AM,T_PTC_2000_R3,PTC,M9881,Q21GU04_GU030,M9881A12_LQFP64_SPT9_ProCu_Qual_MM,PT,Gui Hay Tat (IFAP BE TS QM RQ 3),2022-11,PTA-Q006,YES,VQ21391L.14,START,25µm,BW_AuPd/Cu_4N_25_µm,3,248590
"TC2000X - VLVL Leg:

Please ship to Dan Swee Tong.
Shipment Details:
- Attention to: Dan Swee Tong (IFAP FE QM FA PI)
- Address: Infineon Technologies Asia Pacific Pte Ltd (Kallang Way)
168 Kallang Way, Singapore 349253
- Contact Number: +65 68664504
- Email: SweeTong.Dan@infineon.com

Please refer to MT22395V.01-KBL9152  for PTA instruction
Pls keep the worst delam or mold abnormally unit for further analysis
Pls provide the estimation for measurement if delam or mold or ball abnormally observed. 
Please kindly note down the all the laser marking numbers on the mold compound before decapping.",11/17/2022 10:30:27 AM,Ling Su Lin (IFAP FE QM FA PI OPS),FA SIN_PTA,D_607004,EME G631 H,PG-VSON-8-2,11/17/2022 12:00:00 AM,SPLIT,TC,M5751,Q22PWL011_KBL915,ALP_3D_Sensor_B7CA_VSON3X3_ASEKH,OSA,Pan Wenli (IFAP BE TS QM RQ 3),2022-11,PTA,YES,MT22395V.06,END,25µm,2N Au Wire,3,272569
